Company ID,Address,City,Zip Code,Company Name,Industry,Latitude,Longitude,Last Outcome,Last Outreach Date,Days Since Last Contact,Next Step Due Countdown,Next Steps Due Date,Contact Status,Close Probability,Priority Score,UrgencyBand,Urgency Score,Totals
CID-PAT001,9350 State Highway 31 E,Murchison,75778,Patriot Manufactured Products,Metal Fabrication,32.28728485,-95.70080566,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-STA001,2803 Nw Stallings Dr,Nacogdoches,75964,Star Buildings and Carports,Construction,31.62874031,-94.68683624,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-DOU001,4925 Dps Rd,Nacogdoches,75964,Double d Sales,Construction,31.65534782,-94.68001556,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-DEE001,5656 State Highway 7 E,Nacogdoches,75961,Deer Buildings and Carports,Construction,31.61183929,-94.52988434,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-NEW001,5900 Old Lufkin Rd,Nacogdoches,75964,New Vision Carports & Metal Buildings,Business to business,31.55097008,-94.6870575,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-THO001,806 Nw Stallings Dr,Nacogdoches,75964,Thomas Welding,Welding,31.61048889,-94.68399811,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-OPT001,12931 Tx-7,Nacogdoches,75964,Option #1 Metal Buildings,Metal Fabrication,31.49994087,-94.80617523,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-TOP001,140 Thompson Ln,Nacogdoches,75961,"Top-tier Metal Buildings, LLC",Metal Fabrication,31.56070137,-94.60147095,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-OLD002,298 Wilson Dr,Nacogdoches,75964,Old Town Metalworks and More (otm) LLC,Metal Fabrication,31.64550781,-94.70545959,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-PIC001,490 County Rd 719,Nacogdoches,75964,Pichy's Buildings & Carports,Metal Fabrication,31.58646584,-94.73208618,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-EAG002,5002 S St,Nacogdoches,75964,"Eagle Carports, Inc. (texas Shop)",Metal Fabrication,31.55991554,-94.681633,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-MAC001,563 County Rd 116,Nacogdoches,75965,Mac Custom Structures LLC,Metal Fabrication,31.74029922,-94.64704895,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-MUE001,8498 Us-59,Nacogdoches,75964,"Mueller, Inc.",Metal Fabrication,31.48525429,-94.7221756,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-OAK001,491 Us-79 N,Oakwood,75855,Oakwood Steel Fabrication Inc.,Welding,31.59929466,-95.83798981,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-RAN002,11163 Us-259 S,Overton,75684,Randy Smith's Carports & More,Construction,32.304142,-94.86564636,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-BAR003,103 Woodridge Rd,Palestine,75801,Barnett Performance Welding Services,Welding,31.7171402,-95.69889832,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-H A001,2006 Us-84 E,Palestine,75801,H&a Welding Fabrications LLC,Welding,31.75107193,-95.59772491,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-CUS001,4301 Tx-256 Loop,Palestine,75803,Customer Service Portable Buildings,Construction,31.78264046,-95.63041687,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-TUR002,710 Tx-256 Loop,Palestine,75803,Turbyfill's Machine Shop Inc.,Welding,31.75216293,-95.65945435,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-CHI001,3395 Tx-24,Paris,75462,Chisum Metal Buildings,Metal Fabrication,33.58875656,-95.58518219,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-C4 001,3820 N Main St,Paris,75460,C4 Portable Buildings,Construction,33.70995712,-95.5508728,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-DIS001,13451 Tx-11,Pickton,75471,Discount Pipe and Steel,Metal Fabrication,33.03286362,-95.42238617,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-X5 001,14733 Tx-11,Pickton,75471,X5 Industrial,Metal Fabrication,33.02750778,-95.40263367,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-BRY001,206 N Greer Blvd,Pittsburg,75686,Bryanmark Construction,Construction,33.00226593,-94.96013641,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-MS 001,121 County Rd 2210,Pittsburg,75686,Ms Custom Welding LLC,Metal Fabrication,33.00782776,-94.9868927,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-PIT001,3489 Fm557,Pittsburg,75686,Pittsburg Steel,Metal Fabrication,32.98446655,-94.90713501,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-AFF001,9106 Us-69 N,Pollok,75969,Affordable Metal Carports LLC,Metal Fabrication,31.43754387,-94.83478546,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-AAC001,156 Conti Dr,Quinlan,75474,Aacre Valley Metal Sales,Metal Fabrication,32.90395355,-96.06177521,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-GRE001,137 E Lipscomb St,Quitman,75783,Greenlaw's,Metal Fabrication,32.79670334,-95.45096588,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-ARC002,620 Mcallister St,Quitman,75783,Arc Force Manufacturing,Metal Fabrication,32.78903961,-95.4557724,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-SPE001,209 E Goode St,Quitman,75783,Spencer's Fence & Welding,Welding,32.79590988,-95.4502182,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-SUN001,18962 Us-84 E,Rusk,75785,Sunday Metal Buildings,Metal Fabrication,31.81430817,-95.09998322,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-EAS003,1548 N Dickinson Dr,Rusk,75785,East Texas Metal Works LLC,Metal Fabrication,31.8178997,-95.1635437,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-MIC001,390 County Rd 4367,Scroggins,75480,Michael Mechanical & Welding,Welding,32.96016693,-95.19456482,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-MET008,"424 W Cedar Creek Pkwy, Seven Points, TX 75143",Seven Points,75143,Metal Worx Llc. Welding and Fabrication,Business to business,32.32048798,-96.2216568,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-RON001,"1260 Tx-19, Sulphur Springs, TX 75482",Sulphur Springs,75482,Ronny's Welding Service,Welding,33.10765839,-95.64207458,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-TEX005,"1351 Tx-19, Sulphur Springs, TX 75482",Sulphur Springs,75482,Texwin Sulphur Springs,Construction,33.11168671,-95.63898468,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-PMR001,"253 I 30 Service Rd Ne, Sulphur Springs, TX 75482",Sulphur Springs,75482,Pmr Welding and Fabrication,Welding,33.12017059,-95.64594269,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-3B 001,"2584 Tx-19, Sulphur Springs, TX 75482",Sulphur Springs,75482,3b Welding,Welding,33.09179688,-95.65279388,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-XTR002,"300 C M H Rd, Sulphur Springs, TX 75482",Sulphur Springs,75482,Xtreme Structures & Fabrication,Metal Fabrication,33.12431717,-95.65706635,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-SUL001,"159 Putman St, Sulphur Springs, TX 75482",Sulphur Springs,75482,Sulta Manufacturing Co.,Metal Fabrication,33.13582611,-95.59864807,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-THE004,"427 I 30 Service Rd Ne, Sulphur Springs, TX 75482",Sulphur Springs,75482,Thee Fab Shop,Metal Fabrication,33.12022018,-95.64901733,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-TOM001,"8295 Fm1567, Sulphur Springs, TX 75482",Sulphur Springs,75482,Tommy Williams Pipe & Steel,Metal Fabrication,33.02143478,-95.69341278,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-LON007,3200 Airport Rd,Terrell,75160,"Longhorn Fabrication & Design, Inc.",Metal Fabrication,32.69971848,-96.2478714,Not Contacted,,,30,2026/04/02,Cold,,,,,
CID-FAC001,426 N 1st St,Timpson,75975,Factory Direct,Retail,31.90377235,-94.40299988,Not Contacted,,,30,2026/04/02,Cold,,,,,
