Company ID,Address,City,Zip Code,Company Name,Industry,Latitude,Longitude,Last Outcome,Last Outreach Date,Days Since Last Contact,Next Step Due Countdown,Next Steps Due Date,Contact Status,Close Probability,Priority Score,UrgencyBand,Urgency Score,Totals
CID-JMM102,"660 Vz County Rd 4813, Ben Wheeler, TX 75754",Ben Wheeler,(903) 676-9084,Jm Machine Builders,Metal Fabrication,32.38627243,-95.56118774,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-K5 001,"5119 State Highway 64, Ben Wheeler, TX 75754",Ben Wheeler,75754,K5 Welding & Fabrication,Welding,32.39561462,-95.56362152,Not Contacted,,,14,2026/03/17,Cold,,70,Medium,75,72
CID-LAN001,"750 Vz County Rd 4905, Ben Wheeler, TX 75754",Ben Wheeler,75754,Landaverde's Welding,Welding,32.43342209,-95.59563446,Not Contacted,,,14,2026/03/17,Cold,,70,Medium,75,72
CID-ZMA101,"5687 FM 858, Ben Wheeler, TX 75754",Ben Wheeler,75754,Zman Carports,Business to business,32.44451523,-95.71128082,Follow-Up,2026/02/09,22,-8,2026/02/23,Interested (Warm),0,50,Overdue,150,90
CID-RED104,"285 Private Rd 8612, Ben Wheeler, TX 75754",Ben Wheeler,75754,Red Kingdom Plumbing,Plumbing,32.4280098,-95.6096205,Not Contacted,,,14,2026/03/17,Cold,0,50,Medium,75,60
CID-LAN103,"750 Van Zandt, Co Rd 4905, Ben Wheeler, TX 75754",Ben Wheeler,75754,Landaverdes Welding,Welding,32.433429,-95.5956638,Not Contacted,,,14,2026/03/17,Cold,0,70,Medium,75,72
CID-K5W101,"5119 State Highway 64, Ben Wheeler, TX 75754",Ben Wheeler,75754,K5 Welding Fabrication,Welding,32.395079,-95.5627,Initial Contact,2026/02/12,19,-5,2026/02/26,Interested (Warm),0,70,Overdue,150,102
CID-HAN107,"611 Vz County Rd 4907, Ben Wheeler, TX 75754",Ben Wheeler,75754,Hannas Custom Welding,Welding,32.4754664,-95.6993078,Not Contacted,,,14,2026/03/17,Cold,0,70,Medium,75,72
CID-SOM101,"408 Lyles St, Big Sandy, TX 75755",Big Sandy,75755,Sommers Welding,Welding,32.5800755,-95.1160314,Not Contacted,,,14,2026/03/17,Cold,0,70,Medium,75,72
CID-WIL001,13501 County Rd 3300,Brownsboro,75756,Wilson Steel Services,Metal Fabrication,32.33448029,-95.58804321,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-WIL103,13501 County Rd 3300,Brownsboro,75756,Wilson Steel,Metal Fabrication,32.33448029,-95.58804321,Not Contacted,,,14,2026/03/17,Cold,0,90,Medium,75,84
CID-HWY101,17898 State Hwy 31 E,Brownsboro,75756,Hwy 31 Utilities Excavation,Metal Fabrication,32.2976024,-95.6454011,Not Contacted,,,14,2026/03/17,Cold,0,90,Medium,75,84
CID-TNT001,20057 Tx-31 E,Brownsboro,75756,Tnt Custom Welding,Welding,32.29816437,-95.51953125,Not Contacted,,,14,2026/03/17,Cold,,70,Medium,75,72
CID-DUN001,1518 W Commerce St,Buffalo,75831,Dunn Welding & Custom Fab,Welding,31.45406914,-96.07321167,Not Contacted,,,14,2026/03/17,Cold,,70,Medium,75,72
CID-AME102,"Bullard, TX 75757",Bullard,75757,American Plastiplate,Metal Fabrication,32.1398804,-95.320229,Not Contacted,,,14,2026/03/17,Cold,0,90,Medium,75,84
CID-LON002,48022 Us-69 N,Bullard,75757,Lonestar Sheds,Construction,32.0773201,-95.28338623,Not Contacted,,,14,2026/03/17,Cold,,70,Medium,75,72
CID-VUP101,482 S Doctor M Roper Pkwy,Bullard,75757,Vu Plastics,Other,32.1311919,-95.3079095,Not Contacted,,,14,2026/03/17,Cold,0,50,Medium,75,60
CID-NEW102,23402 County Rd 121,Bullard,75757,Newburn Appliance,Appliance,32.1354331,-95.2801579,Not Contacted,,,14,2026/03/17,Cold,0,50,Medium,75,60
CID-JOH107,"11945 Cr 182, Bullard, Texas 75757",Bullard,75757,Johnston Gutter,Gutter,32.3635362,-95.4129799,Not Contacted,,,14,2026/03/17,Cold,0,50,Medium,75,60
CID-JNO101,16321 FM 344 Suite 7,Bullard,75757,Jnovco,Construction,32.1620873,-95.4269717,Not Contacted,,,14,2026/03/17,Cold,0,70,Medium,75,72
CID-BAL101,46376 US Highway 69 N,Bullard,75757,Ballew Plumbing,Plumbing,32.1484983,-95.3139814,Not Contacted,,,14,2026/03/17,Cold,0,50,Medium,75,60
CID-SMO002,1715 Vz County Rd 2511,Canton,75103,Smokeslinger Pits,Metal Fabrication,32.52199554,-95.92697906,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-TEX004,17460 Farm-to-market 17,Canton,75103,Texas Specialty Steel East,Metal Fabrication,32.56876755,-95.83649445,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-CAP001,20907 Frontage Rd,Canton,75103,Capitol Steel,Metal Fabrication,32.59760284,-95.91044617,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-TAY002,29395 W Dallas St,Canton,75103,Taylor Made Custom Fabrication,Metal Fabrication,32.5914917,-95.91194916,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-CAN001,501 E Dallas St,Canton,75103,Canton Pickin Treasures,Metal Fabrication,32.55574799,-95.86104584,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
CID-360001,611 S Trade Days Blvd,Canton,75103,360 Metal Buildings,Metal Fabrication,32.55213547,-95.8625412,Not Contacted,,,14,2026/03/17,Cold,,90,Medium,75,84
